iter	Passed	Remaining
0	58	58849
1	59	29608
2	59	19860
3	60	14972
4	60	12046
5	60	10094
6	61	8699
7	61	7650
8	62	6831
9	62	6178
10	62	5643
11	63	5202
12	63	4824
13	63	4500
14	64	4219
15	64	3972
16	65	3761
17	65	3569
18	65	3395
19	66	3239
20	66	3098
21	66	2969
22	67	2852
23	67	2744
24	67	2648
25	68	2558
26	68	2473
27	68	2394
28	69	2323
29	69	2256
30	70	2194
31	70	2136
32	71	2083
33	71	2031
34	71	1984
35	72	1938
36	72	1894
37	73	1855
38	73	1816
39	74	1780
40	74	1745
41	75	1711
42	75	1678
43	75	1647
44	76	1617
45	76	1590
46	77	1564
47	77	1537
48	77	1512
49	78	1488
50	78	1464
51	79	1442
52	79	1420
53	79	1400
54	80	1380
55	80	1361
56	81	1343
57	81	1324
58	81	1306
59	82	1289
60	82	1273
61	83	1258
62	83	1243
63	84	1228
64	84	1214
65	84	1200
66	85	1187
67	85	1170
68	85	1157
69	86	1144
70	86	1132
71	86	1120
72	87	1109
73	87	1098
74	88	1087
75	88	1077
76	88	1066
77	89	1056
78	89	1046
79	90	1036
80	90	1027
81	90	1018
82	91	1009
83	91	1000
84	91	989
85	92	981
86	92	971
87	92	963
88	93	955
89	93	947
90	94	940
91	94	934
92	95	927
93	95	921
94	96	915
95	96	908
96	96	902
97	97	896
98	97	889
99	98	883
100	98	877
101	98	869
102	99	863
103	99	857
104	99	851
105	100	845
106	100	839
107	101	834
108	101	829
109	101	824
110	102	818
111	102	813
112	102	808
113	103	803
114	103	798
115	104	792
116	104	787
117	104	782
118	105	777
119	105	773
120	105	768
121	106	764
122	106	758
123	106	754
124	107	749
125	107	745
126	107	741
127	108	736
128	108	733
129	109	730
130	109	727
131	109	723
132	110	720
133	110	716
134	111	712
135	111	709
136	112	705
137	112	701
138	112	698
139	113	695
140	113	691
141	114	689
142	114	686
143	114	683
144	115	680
145	115	678
146	116	675
147	116	673
148	117	670
149	117	667
150	118	664
151	118	662
152	119	659
153	119	656
154	119	654
155	120	652
156	120	649
157	121	646
158	121	643
159	122	640
160	122	638
161	122	635
162	123	632
163	123	630
164	124	627
165	124	625
166	124	623
167	125	621
168	125	618
169	126	616
170	126	614
171	127	611
172	127	609
173	127	606
174	128	604
175	128	602
176	129	600
177	129	598
178	130	596
179	130	594
180	130	591
181	131	589
182	131	586
183	131	584
184	132	582
185	132	580
186	133	578
187	133	576
188	133	574
189	134	572
190	134	570
191	135	568
192	135	566
193	136	565
194	136	563
195	136	561
196	137	559
197	137	557
198	138	555
199	138	553
200	138	552
201	139	550
202	139	548
203	140	547
204	140	545
205	140	543
206	141	541
207	141	539
208	142	537
209	142	536
210	143	534
211	143	533
212	143	531
213	144	530
214	144	528
215	145	526
216	145	524
217	145	523
