iter	Passed	Remaining
0	0	788
1	1	638
2	1	575
3	2	548
4	2	536
5	3	521
6	3	510
7	4	500
8	4	490
9	4	484
10	5	475
11	5	474
12	6	468
13	6	462
14	7	463
15	7	465
16	7	460
17	8	456
18	8	451
19	9	453
20	9	452
21	10	480
22	11	476
23	11	474
24	12	471
25	12	468
26	12	465
27	13	466
28	13	464
29	14	465
30	14	464
31	15	464
32	16	470
33	16	471
34	17	469
35	17	468
36	18	469
37	18	469
38	18	467
39	19	466
40	19	463
41	20	463
42	20	463
43	21	463
44	21	461
45	22	459
46	22	457
47	23	459
48	23	458
49	24	457
50	24	456
51	24	454
52	25	452
53	25	451
54	26	450
55	27	456
56	27	454
57	27	452
58	28	451
59	28	449
60	29	449
61	29	449
62	30	448
63	30	448
64	31	447
65	31	446
66	32	446
67	32	449
68	33	449
69	33	449
70	34	449
71	34	450
72	35	448
73	35	447
74	36	446
75	36	445
76	37	444
77	37	442
78	37	441
79	38	439
80	38	439
81	39	437
82	39	435
83	39	434
84	40	433
85	40	433
86	41	433
87	41	432
88	42	431
89	42	430
90	43	430
91	43	429
92	43	428
93	44	428
94	44	428
95	45	429
96	46	428
97	46	427
98	46	427
99	47	427
100	48	427
101	48	426
102	48	425
103	49	423
104	49	422
105	50	421
106	50	421
107	50	420
108	51	419
109	51	418
110	52	417
111	52	416
112	52	415
113	53	415
114	53	414
115	54	413
116	54	411
117	54	410
118	55	410
119	55	410
120	56	408
121	56	407
122	56	406
123	57	405
124	57	405
125	58	404
126	58	402
127	58	401
128	59	401
129	60	401
130	60	401
131	61	401
132	61	401
133	61	400
134	62	399
135	62	399
136	63	398
137	63	398
138	64	399
139	64	398
140	65	397
141	65	395
142	65	394
143	66	393
144	66	393
145	67	392
146	67	391
147	67	390
148	68	390
149	68	389
150	69	388
151	69	387
152	69	387
153	70	386
154	70	386
155	71	385
156	71	384
157	72	383
158	72	383
159	72	382
160	73	381
161	73	380
162	74	380
163	74	379
